iteration,reward_mean,length_mean,games,loss
500,-0.89,2.11,9,0.10730812698602676
1000,-0.88,2.12,8,0.07166875898838043
1500,-1.0,2.0,8,0.05044390261173248
2000,-0.75,2.25,8,0.031237967312335968
2500,-0.4,2.0,10,0.021093618124723434
3000,-0.56,2.0,9,0.012693909928202629
3500,-0.38,2.12,8,0.020481903105974197
4000,-0.12,2.12,8,0.01933702453970909
4500,0.12,2.12,8,0.007970955222845078
5000,-0.12,2.0,8,0.01598801463842392
5500,0.0,2.0,8,0.006714928429573774
6000,0.0,2.0,8,0.01772942952811718
6500,0.38,2.38,8,0.009467432275414467
7000,0.0,2.0,8,0.013349350541830063
7500,0.12,2.25,8,0.011607763357460499
8000,0.12,2.12,8,0.010045107454061508
8500,0.38,2.38,8,0.01120462454855442
9000,0.5,2.62,8,0.008702101185917854
9500,0.75,2.88,8,0.007378642447292805
10000,1.0,3.4,10,0.011426535435020924
10500,0.62,2.62,8,0.010544000193476677
11000,0.25,2.38,8,0.007646504789590836
11500,1.55,4.09,11,0.012304766103625298
12000,1.22,3.56,9,0.011018551886081696
12500,1.88,4.88,8,0.013269694522023201
13000,1.67,4.11,9,0.012170737609267235
13500,2.09,4.64,11,0.015835409983992577
14000,2.88,5.88,8,0.018986359238624573
14500,2.5,5.5,8,0.020233461633324623
15000,3.0,6.0,8,0.024406317621469498
15500,4.3,7.3,10,0.019972950220108032
16000,4.25,7.25,8,0.022074006497859955
16500,3.25,6.25,8,0.02487788163125515
17000,3.38,6.38,8,0.018737420439720154
17500,3.62,6.62,8,0.03338012099266052
18000,7.25,10.25,8,0.040137797594070435
18500,3.75,6.75,8,0.029128484427928925
19000,6.38,9.38,8,0.03396698832511902
19500,7.0,10.0,8,0.030704451724886894
20000,4.62,7.62,8,0.025294208899140358
20500,3.0,6.0,8,0.04175766929984093
21000,5.25,8.25,8,0.022209269925951958
21500,8.0,11.0,8,0.06314487755298615
22000,7.12,10.12,8,0.030531009659171104
22500,8.78,11.78,9,0.044037871062755585
23000,4.88,7.88,8,0.03644398972392082
23500,8.56,11.56,9,0.01620706170797348
24000,7.0,10.0,8,0.018091563135385513
24500,9.25,12.25,8,0.02076713554561138
25000,8.62,11.62,8,0.016112180426716805
25500,9.88,12.88,8,0.057707034051418304
26000,8.88,11.88,8,0.029931141063570976
26500,7.25,10.25,8,0.02488780952990055
27000,9.25,12.25,8,0.02260502800345421
27500,8.44,11.44,9,0.024973072111606598
28000,10.38,13.38,8,0.040083106607198715
28500,7.75,10.75,8,0.02565165050327778
29000,8.25,11.25,8,0.05088263377547264
29500,11.12,14.12,8,0.032546550035476685
30000,13.5,16.5,8,0.038585565984249115
30500,10.62,13.62,8,0.038049906492233276
31000,13.38,16.38,8,0.05413520708680153
31500,13.62,16.62,8,0.029215248301625252
32000,10.5,13.5,8,0.06899478286504745
32500,15.38,18.38,8,0.018409879878163338
33000,16.0,19.0,8,0.02930229716002941
33500,11.11,14.11,9,0.04601270332932472
34000,10.25,13.25,8,0.04701380804181099
34500,14.75,17.75,8,0.029733452945947647
35000,15.88,18.88,8,0.038726095110177994
35500,14.62,17.62,8,0.024977082386612892
36000,15.75,18.75,8,0.034291550517082214
36500,16.25,19.25,8,0.04232771322131157
37000,18.25,21.25,8,0.058178119361400604
37500,11.12,14.12,8,0.017974674701690674
38000,14.25,17.25,8,0.030499819666147232
38500,9.38,12.38,8,0.026902124285697937
39000,10.1,12.6,10,0.06802409887313843
39500,14.25,17.25,8,0.027656856924295425
40000,12.75,15.75,8,0.038409169763326645
40500,14.38,17.38,8,0.04733572155237198
41000,10.12,13.12,8,0.032761100679636
41500,19.62,22.62,8,0.03937423601746559
42000,14.25,17.25,8,0.05481410399079323
42500,16.0,19.0,8,0.02770937979221344
43000,15.25,18.25,8,0.047497741878032684
43500,14.75,17.75,8,0.05195457488298416
44000,15.25,18.25,8,0.06855170428752899
